site,datetime,stat,bp,co,no,no2,nox,out_rh,out_t,pm25t,sigtheta,sonicwd,sonicws,uvpm
Parkway East,2017-02-09T00:00:00,Avg,728.3,0.3008,6.4,7.9,14.4,75.4,-4.5,5,30.9,321,6.7,541
Parkway East,2017-02-10T00:00:00,Avg,732.8,0.3492,3.1,13.8,17,63.5,-4.9,11,26.2,213,5.3,1025
Parkway East,2017-02-11T00:00:00,Avg,727,0.4578,2.3,12.6,15,58.5,9.1,11,21.9,206,5.1,1374
Parkway East,2017-02-12T00:00:00,Avg,724.4,0.3968,2.6,7.5,10.1,80.8,8.7,10,24.1,288,6.8,1029
Parkway East,2017-02-13T00:00:00,Avg,731.7,0.5663,9.1,11.7,20.9,62,1,6,27.6,316,6.6,855
Parkway East,2017-02-14T00:00:00,Avg,724.7,0.4859,4.7,15.6,20.5,61.1,3.5,12,20,206,6.3,1770
Parkway East,2017-02-15T00:00:00,Avg,719.8,0.3443,7,9.2,16.3,68.7,1.6,6,26.2,297,7,729
Parkway East,2017-02-16T00:00:00,Avg,725.2,0.5449,11,14.6,25.8,74.7,-3.2,8,32.8,303,5.1,1024
Parkway East,2017-02-17T00:00:00,Avg,725.4,0.7173,6.7,21.1,27.8,62.3,3,18,30.2,161,2.1,2141
Parkway East,2017-02-18T00:00:00,Avg,724.2,0.6322,1.5,14.9,16.4,50.1,12.2,17,21.1,210,6.1,2315
Parkway East,2019-03-21T00:00:00,Avg,724.9,0.5061,8.5,16.1,23.9,56.8,8.5,16,28.9,15,3.1,1844
Parkway East,2019-03-22T00:00:00,Avg,723.5,0.31,5.1,7.3,12.6,73.4,3,7,26.4,315,8.8,543
Parkway East,2019-03-23T00:00:00,Avg,733,0.602,4.4,10,14.4,51.3,2.8,5,32.2,311,6.2,786
Parkway East,2019-03-24T00:00:00,Avg,732.3,0.7142,4.1,17,21.2,44.9,7.6,17,29.8,210,3.7,1906
Parkway East,2019-03-25T00:00:00,Avg,730,0.5488,12,15.2,27.3,76.8,6.6,11,37.1,32,3.1,1539
Parkway East,2019-03-26T00:00:00,Avg,735.7,0.5625,11.5,12.7,24.3,39.5,3.4,5,38.7,22,3.7,911
Parkway East,2019-03-27T00:00:00,Avg,736.7,0.2742,2.8,11.5,14.3,40,6.1,9,35.8,150,2.9,918
