site,datetime,stat,bp,co,no,no2,nox,out_rh,out_t,pm25t,sigtheta,sonicwd,sonicws,uvpm
Parkway East,2016-04-24T00:00:00,Avg,729.5,0.4852,3.5,11,14.5,41.6,13.3,7,51.2,202,2.1,882
Parkway East,2016-04-25T00:00:00,Avg,725.5,0.5017,6.9,16.7,23.6,46.4,18.6,12,35.5,208,3.8,1707
Parkway East,2016-04-26T00:00:00,Avg,722.3,0.3708,4.4,10.1,14.2,61.3,19.6,10,32.1,275,5.7,882
Parkway East,2016-04-27T00:00:00,Avg,725,0.4819,12.5,14.8,27.4,68,13.9,11,39,10,3.1,1418
Parkway East,2016-04-28T00:00:00,Avg,725.3,0.7127,13.1,13.3,26.5,80.8,11.3,10,49.6,68,2.2,1367
Parkway East,2016-04-29T00:00:00,Avg,728,0.6172,14.4,13.6,28,88.9,10.5,12,38.8,329,2.9,1330
Parkway East,2016-04-30T00:00:00,Avg,729.6,0.3561,3.4,6.1,9.6,75.9,13.8,9,52.6,134,1.9,755
Parkway East,2016-05-01T00:00:00,Avg,726.4,0.5449,2.4,8.9,11.4,85.7,16.8,11,31.9,203,3.5,893
Parkway East,2016-05-02T00:00:00,Avg,725.6,0.4988,7.2,10.7,18,80.3,16.1,8,39.4,315,3.9,1073
Parkway East,2016-05-03T00:00:00,Avg,724.1,0.5602,12.8,13.9,26.8,67.5,13.7,6,42.5,312,2.9,1332
Parkway East,2016-05-04T00:00:00,Avg,720.6,0.402,5.6,13.1,18.9,73.7,12.8,10,42.5,202,2.2,1287
Parkway East,2016-05-05T00:00:00,Avg,720.7,0.6411,16.9,15.9,32.9,82,12.5,9,39.5,1,2.6,1462
Parkway East,2016-05-06T00:00:00,Avg,722.8,0.4678,8.3,11.1,19.5,67.2,13.5,5,37.5,31,3.7,892
Parkway East,2016-05-07T00:00:00,Avg,721.2,0.5151,3.6,10.6,14.3,70.6,15.3,14,39.4,203,2.7,1244
Parkway East,2016-05-08T00:00:00,Avg,725.1,0.4579,3.8,6.7,10.6,53.5,13.7,8,35.8,309,4.9,903
Parkway East,2016-05-09T00:00:00,Avg,729.8,0.5582,4.5,12.9,17.5,72.5,11.9,17,31.9,206,3,1794
Parkway East,2016-05-10T00:00:00,Avg,731.1,0.4057,7.7,10.5,18.3,83.4,15.4,17,67.9,95,1.4,1734
Parkway East,2016-05-11T00:00:00,Avg,730.4,0.4627,8.5,11.5,20.1,81.8,17.8,15,52.6,81,1.5,1671
Parkway East,2016-05-12T00:00:00,Avg,728,0.3324,2.7,8.4,11,78.9,19.1,11,44.7,168,2.1,1056
Parkway East,2016-05-13T00:00:00,Avg,725.4,0.4569,6.9,10.3,17.3,65.8,18,7,35.1,272,4.7,1024
Parkway East,2016-05-14T00:00:00,Avg,723.3,0.4742,2.4,8.4,10.9,82.3,10.4,8,31.9,243,5.2,999
Parkway East,2016-05-15T00:00:00,Avg,727.8,0.3225,3.5,5.2,8.9,59.7,6.9,3,39.2,300,5.2,325
Parkway East,2016-05-16T00:00:00,Avg,732.4,0.42,7.2,12.5,19.7,51.6,10.9,4,36.5,245,4,774
Parkway East,2016-05-17T00:00:00,Avg,732.1,0.9572,10.7,18.6,29.4,59.4,13.9,15,46.1,297,1.8,2176
Parkway East,2016-05-18T00:00:00,Avg,731.1,0.4105,8.6,11.5,20.2,84.9,11.9,10,53.7,94,1.7,1197
Parkway East,2016-05-19T00:00:00,Avg,731.8,0.6516,17.9,17.2,35.2,61.6,14.6,8,52,346,2,1562
Parkway East,2016-05-20T00:00:00,Avg,732,0.2458,2.4,7,9.2,55.1,17.1,9,65.6,186,1.7,762
Parkway East,2016-05-21T00:00:00,Avg,727.2,0.4733,4.3,8.2,12.3,93.2,13.2,7,61.8,99,2,666
Parkway East,2016-05-22T00:00:00,Avg,726.8,0.4869,4.8,7.5,11.9,83.4,13.8,6,45.6,17,2.3,614
Parkway East,2016-05-23T00:00:00,Avg,728.1,0.5568,13.5,14.7,28.2,71.2,17.6,12,43.8,315,2.4,1435
Parkway East,2016-05-24T00:00:00,Avg,729.6,0.9004,7.8,17.1,25,58.4,20,20,43.7,249,2.7,2070
Parkway East,2016-05-25T00:00:00,Avg,731.4,0.7294,4.5,17,21.6,55.2,22,26,41.7,197,2.9,1946
Parkway East,2016-05-26T00:00:00,Avg,729.8,0.6769,1.3,10.3,11.4,64.1,23.3,24,24.8,195,4.5,1788
Parkway East,2016-05-27T00:00:00,Avg,729.4,0.5767,1.8,9.5,11.4,62.8,25.5,16,32.1,207,3.9,1458
Parkway East,2016-05-28T00:00:00,Avg,730.8,0.5082,1.1,7.4,8.5,65.2,26,17,37.5,175,2.6,1563
Parkway East,2016-05-29T00:00:00,Avg,730.8,0.5337,1.4,7.4,8.9,80.2,21.7,13,48.3,151,1.5,1274
Parkway East,2016-05-30T00:00:00,Avg,728.6,0.7787,3.3,11.1,14.5,66.8,23,13,46.9,7,2.2,1682
Parkway East,2016-05-31T00:00:00,Avg,728.5,0.7052,7.4,14.7,22.2,61.4,23.7,14,45.6,78,1.7,2035
Parkway East,2016-06-01T00:00:00,Avg,728.8,0.2537,0.8,5.8,6.7,55.7,24.9,11,44.4,178,2.8,801
Parkway East,2016-06-02T00:00:00,Avg,728.9,0.4783,2.3,9.4,11.7,71.5,23.9,13,41.5,204,2.7,1299
Parkway East,2016-06-03T00:00:00,Avg,729.2,0.5638,4.4,12.4,16.7,68.8,24.3,14,43,8,2.2,1561
Parkway East,2016-06-04T00:00:00,Avg,727.1,0.2953,1,7.3,8.2,71.5,23.3,16,51.2,168,1.4,1335
Parkway East,2016-06-05T00:00:00,Avg,721.7,0.2265,0.7,4.6,5.3,80,21.2,7,24.2,218,5.9,512
Parkway East,2016-06-06T00:00:00,Avg,721.8,0.3059,3.4,8.5,12,73.1,20.6,7,38.1,233,4.8,804
Parkway East,2016-06-07T00:00:00,Avg,721.1,0.3973,6.4,10,16.5,71.1,18.4,7,37.3,285,4.1,943
Parkway East,2016-06-08T00:00:00,Avg,725.5,0.4374,7.6,10.2,17.9,61.4,14.9,5,45.2,302,4.8,820
Parkway East,2016-06-09T00:00:00,Avg,728.9,0.78,11.9,15.9,27.9,53.6,17,9,44.9,312,3.2,1667
Parkway East,2016-06-10T00:00:00,Avg,730.4,0.7468,3.6,15.6,19.3,54.1,21.5,14,48.7,208,2.1,1593
Parkway East,2016-06-11T00:00:00,Avg,727.8,0.4289,1.5,7.6,9,59.9,26.6,14,33.8,243,5.2,1042
Parkway East,2016-06-12T00:00:00,Avg,727.8,0.3527,2.2,4.4,6.8,43.7,23.1,5,45.3,332,5.2,429
Parkway East,2016-06-13T00:00:00,Avg,728.7,0.4416,8.6,9.1,17.9,56.2,18.6,5,45.5,341,3.1,965
Parkway East,2016-06-14T00:00:00,Avg,728.6,0.374,5.6,8.8,14.5,49.4,21.1,10,58.1,65,1.9,811
Parkway East,2016-06-15T00:00:00,Avg,725.8,0.246,2.1,7.7,9.8,67.6,23.5,13,46.8,158,2.4,1007
Parkway East,2016-06-16T00:00:00,Avg,722.5,0.3626,3.7,10.3,13.7,90.4,21.4,9,50.5,179,2.6,1195
Parkway East,2016-06-17T00:00:00,Avg,727.4,0.623,7.4,12.5,20,68,23.8,10,57,72,1.9,1436
Parkway East,2016-06-18T00:00:00,Avg,734.1,0.7253,3.1,9,12,55.8,25,15,49.2,94,1.7,1615
Parkway East,2016-06-19T00:00:00,Avg,736.2,0.7197,1.5,8.3,9.9,58.1,23.9,16,39.9,196,2.6,1451
Parkway East,2016-06-20T00:00:00,Avg,731.7,0.635,2.1,9.3,11.5,67.3,24.4,20,28.5,198,4.8,1530
Parkway East,2016-06-21T00:00:00,Avg,726.3,0.6263,7.3,14.2,21.6,58.5,25.8,10,47.6,339,3.2,1525
Parkway East,2016-06-22T00:00:00,Avg,727.6,0.4274,6.9,13.7,20.7,53.2,22.8,10,35.5,261,3.7,1400
Parkway East,2016-06-23T00:00:00,Avg,726.2,0.4489,5.5,10.8,15.8,89.7,20.9,8,42.9,219,2.8,1098
Parkway East,2016-06-24T00:00:00,Avg,729.1,0.5623,9.1,11.3,20.4,74.4,24.3,13,52.3,48,1.7,1417
Parkway East,2016-06-25T00:00:00,Avg,732.2,0.2798,1.1,5,6.1,68.9,24.7,14,50.9,168,1.7,1176
Parkway East,2016-06-26T00:00:00,Avg,731.7,0.2765,0.6,4.7,5.2,63.7,25.8,11,31.3,185,3.4,808
Parkway East,2016-06-27T00:00:00,Avg,728.8,0.5854,3.8,13.2,16.8,64.2,26.5,13,38.2,230,3.1,1526
Parkway East,2016-06-28T00:00:00,Avg,727.8,0.5852,5.2,11.6,16.9,63.5,23.8,12,44.1,295,3.5,1642
Parkway East,2016-06-29T00:00:00,Avg,729.9,0.6055,11,11.7,22.8,66.9,18.7,6,45.5,347,2.4,1137
Parkway East,2016-06-30T00:00:00,Avg,729.8,1.0001,8.2,14.3,22.6,61.6,20.9,19,44.3,176,1.8,2567
Parkway East,2016-07-01T00:00:00,Avg,727.8,0.8761,5.1,14,19.2,67.3,21,19,39.8,238,3.6,1963
Parkway East,2016-07-02T00:00:00,Avg,732,0.6863,6.5,9.8,16.4,64,18.7,5,57.4,0,1.8,982
Parkway East,2016-07-03T00:00:00,Avg,731.4,0.5684,3.7,8.2,11.8,65,20.1,14,50.5,100,1.5,1826
Parkway East,2016-07-04T00:00:00,Avg,727.9,0.2587,0.9,5.3,6.2,80.5,20.9,13,44.5,189,2,1127
Parkway East,2016-07-05T00:00:00,Avg,726.4,0.5892,6.6,12.4,19,76.9,25,8,41.1,257,2.8,1575
Parkway East,2016-07-06T00:00:00,Avg,727,0.4778,4,10.3,14.4,71,25.5,12,36.7,217,3.6,1595
Parkway East,2016-07-07T00:00:00,Avg,726,0.3258,1.9,7.9,9.8,80.5,24.2,10,29.6,219,4.3,962
Parkway East,2016-07-08T00:00:00,Avg,725.3,0.2681,1.6,5.9,7.4,75.3,25.5,10,26,223,5.4,961
Parkway East,2016-07-09T00:00:00,Avg,726,0.3971,2.4,6,8.2,66.3,24.4,7,37.9,272,4.7,739
Parkway East,2016-07-10T00:00:00,Avg,729.4,0.4628,3,5.6,8.5,60.3,23.6,5,40.5,354,2.9,583
Parkway East,2016-07-11T00:00:00,Avg,731.1,0.4056,3.2,8.5,11.9,59.1,24.2,10,45.1,132,1.7,1078
Parkway East,2016-07-12T00:00:00,Avg,729.6,0.382,1.3,6.7,8.1,58.8,26.2,13,30.5,192,3.5,868
Parkway East,2016-07-13T00:00:00,Avg,729.2,0.2634,1.5,5.4,6.8,69.9,27.1,15,24.1,218,5.2,1036
Parkway East,2016-07-14T00:00:00,Avg,727.2,0.3552,2.4,6.8,9.2,71.4,25.5,8,35.3,230,5.2,813
Parkway East,2016-07-15T00:00:00,Avg,728.2,0.3234,2.2,7.4,9.7,70.5,25.2,10,31.8,226,4.8,865
Parkway East,2016-07-16T00:00:00,Avg,730.5,0.4825,3.1,7.3,10.5,67.6,24.4,10,32.8,238,3.4,798
Parkway East,2016-07-17T00:00:00,Avg,732.7,0.3949,1.7,5.4,7.3,63.1,25,9,42.1,217,3.7,1039
Parkway East,2016-07-18T00:00:00,Avg,732,0.5012,2.9,10.4,13.4,66.2,26.3,10,35,229,4.2,1261
Parkway East,2016-07-19T00:00:00,Avg,733.5,0.5838,6.3,11.6,18,56.2,25.5,10,48.4,24,2.6,1506
Parkway East,2016-07-20T00:00:00,Avg,734.5,0.69,7.3,14.9,22.2,52.1,23.7,10,53.5,358,1.9,1398
Parkway East,2016-07-21T00:00:00,Avg,732.4,1.0709,5.3,14.5,19.9,56.4,25.1,23,35.3,198,3.2,2554
Parkway East,2016-07-22T00:00:00,Avg,729.6,0.6386,3.5,12.6,16.2,67.8,26.2,14,31.1,215,3.7,1559
Parkway East,2016-07-23T00:00:00,Avg,728.9,0.5391,1.9,9.6,11.6,71,26.9,12,34.8,222,3,1324
Parkway East,2016-07-24T00:00:00,Avg,729.5,0.4689,1.4,7.8,9.3,81,24.9,13,44.8,155,2.2,1269
Parkway East,2016-07-25T00:00:00,Avg,728.2,0.6902,2.9,9.7,12.7,76.8,27,15,36.4,208,3.4,1685
Parkway East,2016-07-26T00:00:00,Avg,729.2,0.7911,9.1,13.7,22.9,66.2,26.5,11,46.6,21,2,2207
Parkway East,2016-07-27T00:00:00,Avg,728.8,0.529,9.2,15.1,24.4,56.7,27,10,54.9,50,1.6,1551
Parkway East,2016-07-28T00:00:00,Avg,727.4,0.4653,2.7,11.6,14.2,84.9,23,13,37.8,163,2,1605
Parkway East,2016-07-29T00:00:00,Avg,727.7,0.5357,8.1,11.3,19.5,74.3,24.8,12,44.7,260,2.1,1788
Parkway East,2016-07-30T00:00:00,Avg,728.1,0.3656,1.9,6.6,8.6,87.6,22.5,12,58.2,142,1.2,1092
Parkway East,2016-07-31T00:00:00,Avg,729.2,0.4477,1.7,6.9,8.7,78.1,24.5,13,46.8,183,2.3,1129
Parkway East,2016-08-01T00:00:00,Avg,730.4,0.6074,6.8,12.8,19.7,71.7,25.3,12,49.9,261,2,1696
Parkway East,2016-08-02T00:00:00,Avg,730.7,0.5468,7.1,13.7,20.9,64.8,26.5,10,56.3,37,1.7,1489
Parkway East,2016-08-03T00:00:00,Avg,731,0.2167,1,5.1,6.1,68.7,25.6,10,41.4,177,2.4,780
Parkway East,2016-08-04T00:00:00,Avg,730.6,0.2236,1.4,5.1,6.4,71,25.2,10,53.5,171,1.7,709
Parkway East,2016-08-05T00:00:00,Avg,727.6,0.3029,0.9,5.3,6.4,72.4,25.6,7,26.5,196,4.7,937
Parkway East,2016-08-06T00:00:00,Avg,726.2,0.6182,4.4,8,12.5,65.5,26,7,46.8,327,3.1,851
Parkway East,2016-08-07T00:00:00,Avg,729,0.7386,5.1,8.6,13.7,62.3,23.6,8,50.2,22,1.9,1120
Parkway East,2016-08-08T00:00:00,Avg,730.4,0.3646,5,8.2,13.3,58.6,24.8,7,64.8,120,1.6,925
Parkway East,2016-08-09T00:00:00,Avg,731.2,0.1999,0.6,3.7,4.3,68.8,25.6,9,36.4,179,3,555
Parkway East,2016-08-10T00:00:00,Avg,732.1,0.477,3.7,9.9,13.4,73.1,27,8,31.9,214,3.7,1493
Parkway East,2016-08-11T00:00:00,Avg,730.9,0.3975,1.9,8.8,10.7,73.8,27.8,9,31.2,188,3.3,1955
Parkway East,2016-08-12T00:00:00,Avg,728.3,0.4747,2.3,8.8,11.2,78.3,27.5,10,37.7,196,2.9,1498
Parkway East,2016-08-13T00:00:00,Avg,727.5,0.459,1.5,6.6,8,78.7,27.3,10,33.4,210,3.8,1357
Parkway East,2016-08-14T00:00:00,Avg,730.6,0.3755,2.5,6.7,8.4,85.4,24.4,6,34.1,233,3.3,825
Parkway East,2016-08-15T00:00:00,Avg,733.8,0.4737,5.7,9.3,12.5,85.7,24.1,9,53.2,146,1.3,1555
Parkway East,2016-08-16T00:00:00,Avg,731.7,0.2091,0.4,5,5.2,78.9,25.4,5,25.6,210,5.9,726
Parkway East,2016-08-17T00:00:00,Avg,731.8,0.347,4.5,8.6,12.9,88.4,23.1,5,33.3,235,2.8,1155
Parkway East,2016-08-18T00:00:00,Avg,730.8,0.5771,5.9,11.5,17.5,71.3,25.2,8,41.8,269,3.1,1432
Parkway East,2016-08-19T00:00:00,Avg,729,0.6226,3.6,8.9,11,76.2,24,14,34.5,172,2.5,1701
Parkway East,2016-08-20T00:00:00,Avg,726.1,0.6906,2.1,9.6,8.5,75.4,25.5,16,31.9,185,3.8,1780
Parkway East,2016-08-21T00:00:00,Avg,725.5,0.4871,3.9,6.9,9.8,71.8,23.5,6,39.1,272,4,783
Parkway East,2016-08-22T00:00:00,Avg,732.6,0.5577,9.7,10.2,19.5,67.8,21.1,5,43.8,10,2,1140
Parkway East,2016-08-23T00:00:00,Avg,736,0.5493,3.4,12.5,13.8,67.7,21.6,8,35.2,161,2.2,1140
Parkway East,2016-08-24T00:00:00,Avg,733.7,0.273,2.2,7.1,9.4,67.5,23.9,8,25.5,183,4.1,1125
Parkway East,2016-08-25T00:00:00,Avg,730.4,0.3112,2,7.5,9.4,73.9,26.6,12,27,218,5.3,1053
Parkway East,2016-08-26T00:00:00,Avg,732.1,0.6897,8.4,13.6,22.1,71.9,26.3,10,46.3,311,1.9,1746
Parkway East,2016-08-27T00:00:00,Avg,733.2,0.3228,0.9,5.8,6.8,67.4,26.6,12,52.3,170,1.5,1273
Parkway East,2016-08-28T00:00:00,Avg,733.8,0.4774,1.8,6.6,8.4,76.2,25.8,12,48.4,187,2.1,1004
Parkway East,2016-08-29T00:00:00,Avg,734.2,0.5452,5.9,10.3,16.3,71.8,24.9,6,55.3,60,1.7,1133
Parkway East,2016-08-30T00:00:00,Avg,732.3,0.567,6.6,13.6,20.4,62.7,23.7,7,54.6,141,1.4,1420
Parkway East,2016-08-31T00:00:00,Avg,728.8,0.6905,6.4,16,22.1,76.1,22,16,43.1,118,1.4,3107
Parkway East,2016-09-01T00:00:00,Avg,729,0.5732,9.7,8.4,18.3,69.7,21.7,6,46.2,5,2.9,1281
Parkway East,2016-09-02T00:00:00,Avg,732.7,0.647,12.5,9.1,21.6,68.1,20.2,5,47,56,2.3,1145
Parkway East,2016-09-03T00:00:00,Avg,733.4,0.5872,5,7.8,12.9,65.6,20.6,5,50,63,1.7,776
Parkway East,2016-09-04T00:00:00,Avg,734.9,0.4615,2,5.9,8,64.9,21.5,9,59.2,137,1.2,1502
Parkway East,2016-09-05T00:00:00,Avg,734.6,0.5637,1.9,10,12,64.2,22.9,11,48,96,1.5,1427
Parkway East,2016-09-06T00:00:00,Avg,732.7,0.991,9.4,20.1,29.6,67.8,24.9,21,42.6,255,2,2637
Parkway East,2016-09-07T00:00:00,Avg,730.9,0.6338,8.7,15.3,24,71.8,27.1,14,37.5,255,3.2,2183
Parkway East,2016-09-08T00:00:00,Avg,728.2,0.2618,1.3,6.5,8,70,26.8,12,32.5,208,5,1058
Parkway East,2016-09-09T00:00:00,Avg,728.9,0.4912,6.5,10.3,16.8,87.6,24,8,44.1,229,2,1384
Parkway East,2016-09-10T00:00:00,Avg,727.9,0.2722,0.9,4.7,5.8,70.6,26.1,10,27.3,214,6,848
Parkway East,2016-09-11T00:00:00,Avg,732.2,0.4629,3.6,5.4,8.8,67.2,20.9,4,41.2,339,3.1,606
Parkway East,2016-09-12T00:00:00,Avg,733.6,0.2009,1.6,5.8,7.4,65.9,20.4,5,52.9,137,1.7,698
Parkway East,2016-09-13T00:00:00,Avg,732.2,0.7343,5.5,13.6,19.2,63.4,22.5,9,38.3,165,2.7,1458
Parkway East,2016-09-14T00:00:00,Avg,733,1.6638,16.6,16.5,33.3,77.4,20.7,20,40.9,61,2.4,3608
Parkway East,2016-09-15T00:00:00,Avg,734.2,0.5161,12.5,9.7,22.3,68.9,19.2,5,45.8,52,2.2,1034
Parkway East,2016-09-16T00:00:00,Avg,732.7,0.3013,1.2,5.6,6.8,73.9,20.7,9,46.9,184,2.1,847
Parkway East,2016-09-17T00:00:00,Avg,730.5,0.3566,0.3,5.2,5.6,75.2,22.9,13,30.1,193,4.1,1068
Parkway East,2016-09-18T00:00:00,Avg,729.8,0.3483,1.4,6.6,7.8,87.6,21.6,10,31.4,208,2.6,842
Parkway East,2016-09-19T00:00:00,Avg,730.5,0.7105,13.1,15.3,28.5,76.7,23.3,12,50.8,63,1.8,1869
Parkway East,2016-09-20T00:00:00,Avg,732.9,0.695,12.2,16.7,29,68.5,23.1,11,50,78,1.4,1958
Parkway East,2016-09-21T00:00:00,Avg,733.6,0.4953,8.8,13.3,22.2,68.2,23.1,11,53.9,78,1.4,1686
Parkway East,2016-09-22T00:00:00,Avg,732.2,0.5618,5.2,13.3,18.6,66.3,23.4,11,44.2,134,1.7,1675
Parkway East,2016-09-23T00:00:00,Avg,730.5,0.9084,7.4,19,26.5,63.9,24.5,18,47.3,70,1.9,2796
Parkway East,2016-09-24T00:00:00,Avg,732.5,0.6347,7.4,7.9,15.4,71.4,20.4,9,41.3,34,2.4,1246
Parkway East,2016-09-25T00:00:00,Avg,732.5,0.3936,3.2,6.5,9.7,61.8,17.9,5,59,64,1.6,716
Parkway East,2016-09-26T00:00:00,Avg,728.7,0.4315,5.4,9.9,15.4,76.5,17.9,8,39.6,259,2.8,1137
Parkway East,2016-09-27T00:00:00,Avg,727.5,0.3345,3.5,8.3,11.6,64.6,16.3,5,29.6,199,4.3,713
Parkway East,2016-09-28T00:00:00,Avg,727.8,0.2101,2,5.9,8,72.1,16.8,8,44.9,191,2.2,782
Parkway East,2016-09-29T00:00:00,Avg,731.3,0.5452,13.1,8.5,21.7,86.2,17.5,1,73.4,357,2,975
Parkway East,2016-09-30T00:00:00,Avg,732.3,0.526,11.7,8.2,20,88.3,15.7,3,67.1,45,2,820
Parkway East,2016-10-01T00:00:00,Avg,730.7,0.448,4.3,6.3,10.8,88,17,6,58.8,166,1.3,703
Parkway East,2016-10-02T00:00:00,Avg,730.2,0.4661,2.9,8.9,11.9,88,16.5,10,36.1,190,2.6,1310
Parkway East,2016-10-03T00:00:00,Avg,731.3,0.511,10.4,12.9,23.3,86.1,15.8,10,46.1,71,1.3,1567
Parkway East,2016-10-04T00:00:00,Avg,733.9,0.3674,7.2,7.3,14.1,79.4,16.9,8,63.5,116,1.2,1171
Parkway East,2016-10-05T00:00:00,Avg,734.9,0.1763,1.4,4.3,5.8,77.8,16.1,5,50,148,1.5,643
Parkway East,2016-10-06T00:00:00,Avg,734.9,0.2784,3.4,8.1,11.6,72.3,17,6,54.6,120,1.2,800
Parkway East,2016-10-07T00:00:00,Avg,732.9,0.1644,0.9,3.6,4.6,85.7,17.2,4,40.5,172,2.5,513
Parkway East,2016-10-08T00:00:00,Avg,731.5,0.6326,6.3,8.1,14.5,84.8,15.5,5,46.5,341,2.4,878
Parkway East,2016-10-09T00:00:00,Avg,735.2,0.4492,4.8,4.6,9.2,70.5,11.5,3,47.7,9,3,477
Parkway East,2016-10-10T00:00:00,Avg,738.4,0.6665,14.8,13.5,28.4,69.9,10.8,5,56.3,42,1.6,1110
Parkway East,2016-10-11T00:00:00,Avg,736.9,0.3496,4.3,11,15,75.9,11.6,7,45.5,132,1.4,1252
Parkway East,2016-10-12T00:00:00,Avg,733.3,0.3302,4.6,10.1,14.8,71.2,15.3,13,27.5,161,3,1263
Parkway East,2016-10-13T00:00:00,Avg,733.1,0.5477,9,12,20.7,74.5,13.4,8,36.8,327,3.4,1308
Parkway East,2016-10-14T00:00:00,Avg,737,0.5896,19.8,12.6,32.5,75.1,9.9,8,53.5,77,1.3,1681
Parkway East,2016-10-15T00:00:00,Avg,734.7,0.3072,3.4,8,11.2,75.7,14.9,12,26.9,165,3,1348
Parkway East,2016-10-16T00:00:00,Avg,731.3,0.4536,0.8,8.6,9.5,71.8,19.4,14,23,201,4.1,1530
Parkway East,2016-10-17T00:00:00,Avg,728,0.4328,1.6,9.8,11.5,74,20.5,12,22.8,203,4.8,1285
Parkway East,2016-10-18T00:00:00,Avg,726.1,0.2921,0.8,8.7,9.9,65,22.3,11,19.1,207,7.2,1109
Parkway East,2016-10-19T00:00:00,Avg,730.2,0.5646,10.9,12.2,23.2,75.1,21.5,11,50,336,2.1,1705
Parkway East,2016-10-20T00:00:00,Avg,727.4,0.4016,6.2,10.5,16.8,79.8,19.7,10,49.3,244,2.5,1155
Parkway East,2016-10-21T00:00:00,Avg,723.5,0.3478,10.2,7.7,18,94.2,11.7,2,47.1,3,3.8,821
Parkway East,2016-10-22T00:00:00,Avg,726.5,0.3351,4.6,4.9,9.6,75.3,7.2,3,36.2,303,5.8,398
Parkway East,2016-10-23T00:00:00,Avg,728.2,0.3002,2.2,6,8.3,64.2,12.8,7,33.6,248,5.6,792
Parkway East,2016-10-24T00:00:00,Avg,732.4,0.4453,10.3,9.1,19.5,63.4,12.2,6,36.8,320,4.8,1132
Parkway East,2016-10-25T00:00:00,Avg,737.5,0.6198,14.4,13.2,27.7,67.8,8.4,5,41.9,328,2.8,1076
Parkway East,2016-10-26T00:00:00,Avg,737.1,0.5264,17.8,14.1,32.1,76.1,6.7,8,60.3,86,1.5,1250
Parkway East,2016-10-27T00:00:00,Avg,730.8,0.3351,3.7,9.4,13.2,80.4,11.4,10,37.8,241,4.7,1043
Parkway East,2016-10-28T00:00:00,Avg,735.2,0.4141,8.2,10.5,18.8,76.6,8.6,6,36.8,281,2.9,1013
Parkway East,2016-10-29T00:00:00,Avg,730.3,0.4078,1,10.1,11.2,64.8,16.9,14,26.9,213,5.9,1397
Parkway East,2016-10-30T00:00:00,Avg,729.3,0.322,2.8,4.5,7.4,74.2,16.4,9,34,290,5,678
Parkway East,2016-10-31T00:00:00,Avg,733.7,0.4249,11.5,10.3,21.9,69.3,8.6,6,54.3,60,1.7,995
Parkway East,2016-11-01T00:00:00,Avg,732.3,0.3101,2.9,10.8,13.4,72.1,15.4,14,29.1,170,2.9,1478
Parkway East,2016-11-02T00:00:00,Avg,733.7,0.4677,2.3,13,15.4,68,19.9,20,24.8,202,3.6,2152
Parkway East,2016-11-03T00:00:00,Avg,731,0.4826,6.7,10.9,17.2,76,16.5,9,35.1,290,4.3,1317
Parkway East,2016-11-04T00:00:00,Avg,735.9,0.701,16.9,13,30,72,10.2,7,49.6,339,2.3,1237
Parkway East,2016-11-05T00:00:00,Avg,736.9,1.0798,14.3,13.2,27.6,70.4,9.2,18,34.6,213,2.6,2945
Parkway East,2016-11-06T00:00:00,Avg,737.7,0.9045,7.6,17.1,24.8,65.9,10.7,17,44.4,168,1.4,2896
Parkway East,2016-11-07T00:00:00,Avg,738.5,0.5526,19.3,15.3,33.6,57.4,11.4,7,41.1,126,1.4,1851
Parkway East,2016-11-08T00:00:00,Avg,732.7,0.6349,12.3,18.4,30.7,65.3,11.5,21,30.4,209,2.9,2512
Parkway East,2016-11-09T00:00:00,Avg,729.9,0.4785,12.1,10.6,22.7,86.5,8.7,9,30,313,4.2,1174
Parkway East,2016-11-10T00:00:00,Avg,730.7,0.2823,4.9,11.1,16.1,65,8.9,7,26.6,239,5.4,797
Parkway East,2016-11-11T00:00:00,Avg,730.1,0.4767,9.2,9.4,18.7,61.9,8.7,6,38.7,326,5,885
Parkway East,2016-11-12T00:00:00,Avg,737.4,0.94,12.2,17.8,30.1,65.3,3.6,10,42.5,312,1.9,1411
Parkway East,2016-11-13T00:00:00,Avg,734.1,1.1225,13,19.8,32.9,64.2,4.8,21,31.3,192,2.6,3136
Parkway East,2016-11-14T00:00:00,Avg,730,1.0614,21.4,27.6,49.1,58.6,5.8,21,39.5,167,2,3008
Parkway East,2016-11-15T00:00:00,Avg,727.2,1.2201,24.2,29.6,53.9,59.7,7.5,22,44.5,170,1.6,3541
Parkway East,2016-11-16T00:00:00,Avg,726.7,0.8516,16.3,24.1,40.5,72.1,8.8,25,36.4,280,2.6,2947
Parkway East,2016-11-17T00:00:00,Avg,731.3,0.8093,23.7,17.6,41.4,81.4,7.6,22,30.7,151,1.6,2508
Parkway East,2016-11-18T00:00:00,Avg,731.1,0.3024,4.3,13.1,17.5,62.1,13.5,18,24.5,156,3,1868
Parkway East,2016-11-19T00:00:00,Avg,727,0.4154,3.4,10.3,13.9,68.2,7.4,10,28.8,246,6.5,1186
Parkway East,2016-11-20T00:00:00,Avg,728.1,0.226,2.6,4.8,7.4,78.8,-0.3,2,29.7,293,8.7,211
Parkway East,2016-11-21T00:00:00,Avg,730.9,0.3353,6.8,8.9,15.9,61.5,-0.3,5,31,292,7.6,558
Parkway East,2016-11-22T00:00:00,Avg,735.4,0.7241,21,21.6,42.8,69.8,0,10,34,280,3.2,1897
Parkway East,2016-11-23T00:00:00,Avg,734.3,0.6491,16.7,21.9,38.7,69.6,2.7,16,49.3,94,1.3,2456
