datetime,bp,co,no,no2,nox,out_rh,out_t,pm25t,uvpm
2016-02-26T00:00:00,729.8,0.3799,7.8,9.1,17,59.6,-2.3,5,554
2019-12-22T00:00:00,735.4,1.2975,15.1,23.1,38.3,69.8,3.9,24,3049
2016-07-07T00:00:00,726,0.3258,1.9,7.9,9.8,80.5,24.2,10,962
2017-08-06T00:00:00,731.6,0.4817,2.3,7.2,9.5,81.9,19,11,1513
2017-06-21T00:00:00,728.6,0.7046,6,14.6,20.7,69,22.2,13,1560
2016-03-30T00:00:00,730.3,0.3351,1.2,8.5,9.8,43.2,11.1,8,724
2017-01-18T00:00:00,729.8,0.4226,10.3,9.6,20,83.3,5.9,5,656
2019-10-17T00:00:00,723.4,0.365,6.6,7.1,13.7,80,7.9,4,520
2020-03-08T00:00:00,737.9,0.6295,1.2,12.1,13.4,44,8.1,11,1531
2017-08-14T00:00:00,728.2,0.3249,3,8.1,10.9,76.2,21.7,12,1133
2018-06-12T00:00:00,730,0.1623,0.5,2.9,3.5,75.7,20.6,5,355
2017-06-05T00:00:00,723.4,0.3846,2.2,9,11.2,80.2,19.7,12,1288
2016-09-28T00:00:00,727.8,0.2101,2,5.9,8,72.1,16.8,8,782
2016-11-01T00:00:00,732.3,0.3101,2.9,10.8,13.4,72.1,15.4,14,1478
2016-11-20T00:00:00,728.1,0.226,2.6,4.8,7.4,78.8,-0.3,2,211
2016-04-18T00:00:00,734.4,0.7124,12.6,23.3,36,34.8,20.2,11,1946
2017-12-16T00:00:00,729.7,0.4299,2.9,11.6,14.2,67,1.4,14,1011
2018-01-02T00:00:00,739.5,0.258,3.5,10.7,14.4,64.8,-12,8,620
2017-11-01T00:00:00,731.9,0.457,13.5,13.3,26.8,89.7,5.6,10,1531
2019-10-05T00:00:00,733.5,0.2237,1.6,3.4,5,67.7,13.3,4,480
2018-09-21T00:00:00,729.5,0.403,1,7.3,8.4,74.4,25.4,12,1054
2020-02-15T00:00:00,736.4,0.2759,2.1,12.7,14.9,59.6,-3.5,9,1153
2018-06-29T00:00:00,730.6,1.3983,7.1,12.8,20,68.3,25.6,21,2709
2019-04-22T00:00:00,732.8,0.4997,12.2,13.1,25.4,68.2,13.9,11,1317
2019-06-14T00:00:00,729.5,0.3156,4.3,5.8,10.2,61.5,17.3,4,608
2019-10-02T00:00:00,727,1.0416,5.2,14.4,19.8,70.6,25.4,16,2216
2019-04-29T00:00:00,732.1,0.2133,1.7,5.7,7.5,62.1,12.9,13,568
2019-09-07T00:00:00,727.7,0.7116,5.8,9.7,15.6,77.1,19,13,1583
2019-12-06T00:00:00,730,0.5979,6.9,16.1,23.1,70.2,3.7,12,1265
2016-02-08T00:00:00,719.6,0.2616,2.5,13.6,16.1,71,3,11,1130
2017-07-27T00:00:00,728.1,0.6149,3.5,10.6,14.3,74.5,23.7,17,1901
2018-02-24T00:00:00,731.1,0.4363,4.9,6.6,11.6,90,9.9,7,655
2018-07-06T00:00:00,734,0.5753,7.1,8.5,15.7,67.8,24.2,7,1002
2016-10-09T00:00:00,735.2,0.4492,4.8,4.6,9.2,70.5,11.5,3,477
2016-09-02T00:00:00,732.7,0.647,12.5,9.1,21.6,68.1,20.2,5,1145
2020-01-02T00:00:00,724.2,0.3555,1.5,13.1,14.6,66.7,5.8,10,1134
2018-04-28T00:00:00,725.8,0.5207,4.9,10.5,15.4,64.8,9.3,8,895
2017-10-21T00:00:00,735.5,0.3857,2.4,10.3,12.8,67.9,15.9,14,2064
2018-02-27T00:00:00,735.8,0.9016,11.1,17.6,28.8,51.5,6.6,15,2081
